Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Quality Engineer,BIRGMA ASIA TRADING LIMITED,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-10-02
Business Analyst,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-01
English Teacher,Phonics Plus Limited,"Full Time, Graduate",HKD ($),19K - 25K per month,2024-09-30
Sales Associate,Foo Hang Jewellery Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-10-02
Graduate Trainee - System Consultant,Global Sharp International Limited,"Full Time, Graduate",HKD ($),25K - 27K per month,2024-09-17
Translator,Lingxpert Language Services Limited,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-09-26
Assistant Engineer (under Building Service Scheme A Training),Telemax Environmemtal and Energy Management Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-01
Assistant Engineer (under Energy Scheme A Training),Telemax Environmemtal and Energy Management Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-01
Audit Junior (PART TIME - Flexible and attractive),WT & Co. Certified Public Accountants,"Part Time, Temporary",HKD ($),750 per day,2024-09-16
"Intern, Social Media & Community Management",艺龙国际旅行香港有限公司,"Part Time, Internship",HKD ($),50 - 55 per hour,2024-09-30
"Analyst, Corporate Finance (6-month renewable contract)",Asian Capital Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Office Administrator – Compliance (Student Intern),Compliance Consulting Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-30
Quantitative Analyst,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-01
Assistant Engineer (under Environmental Scheme A Training),Telemax Environmemtal and Energy Management Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-01
Junior Programmer (Machine Learning / AI),Ctech Group Limited,"Full Time, Graduate",HKD ($),40K - 60K per month,2024-10-01
Programmer Analyst,Ctech Group Limited,"Full Time, Graduate",HKD ($),40K - 60K per month,2024-10-01
Business Development Executive,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-01
Operation Officer,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-01
Management Trainee,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-01
Junior Trader,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-01
Assistant Engineer (Environmental),REC Engineering Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-30
Assistant Engineer (Building Services),REC Engineering Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-30
Assistant Engineer (Mechanical),REC Engineering Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-30
Assistant Engineer(Electrical),REC Engineering Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-30
Part-time STEM Instructor / Tutor,STEM Accelerator Limited,"Part Time, Temporary",HKD ($),100 - 140 per hour,2024-09-30
Part-time intern,HSK Genetech Limited,"Part Time, Temporary",HKD ($),64 per hour,2024-09-15
Business Analyst,Global Sharp International Limited,"Full Time, Graduate",HKD ($),23K - 27K per month,2024-09-15
Junior Accountant,Bentley Reid & Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-29
Relationship Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,"Full Time, Graduate",HKD ($),Negotiable,2024-09-29
Systems Operator Trainee,Bangkok Bank Public Co. Ltd.,"Full Time, Graduate",HKD ($),Negotiable,2024-09-29
"Treasury Settlement Assistant - FX/MM, Derivatives and Securities",Bangkok Bank Public Co. Ltd.,"Full Time, Graduate",HKD ($),Negotiable,2024-09-29
Systems Operator Trainee,Bangkok Bank Public Co. Ltd.,"Full Time, Graduate",HKD ($),Negotiable,2024-09-29
Relationship Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,"Full Time, Graduate",HKD ($),Negotiable,2024-09-29
Academic Coordinator (Half-day Regular),Enrich Learning Development Limited,"Part Time, Graduate",HKD ($),11.5K - 11.8K per month,2024-09-28
Backend Developer,Techlution Service Limited,"Full Time, Graduate",HKD ($),16K - 20K per month,2024-09-29
ABA Therapist with Professional Training (5-days work) - Fresh Graduates are welcome,Autism Partnership Limited,"Full Time, Graduate",HKD ($),15K - 22K per month,2024-09-12
FinTech Quant Developer,PremiaLab HK Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Fintech Data Analyst,PremiaLab HK Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-28
到校(長沙灣區)(二)小學功課輔導班導師(AH03),Hong Kong Education Services Center,"Part Time, Temporary",HKD ($),85 - 90 per hour,2024-09-22
Assistant Professor in Department of Health and Physical Education (Ref: 2400965),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-13
到校(屯門區)(一至五)小學功課輔導班導師(AH06),Hong Kong Education Services Center,"Part Time, Temporary",HKD ($),80 - 100 per hour,2024-09-22
到校(屯門區)(一至五) 小學功課輔導班統籌員(AH06統籌員),Hong Kong Education Services Center,"Part Time, Temporary",HKD ($),80 - 100 per hour,2024-09-22
到校(上環區)(一) P.3-P.4奧數課程導師(E02),Hong Kong Education Services Center,"Part Time, Temporary",HKD ($),130 - 180 per hour,2024-09-22
Part-time (Day-time) Project Coordinator,Vocational Training Council,"Part Time, Graduate",HKD ($),Negotiable,2024-09-18
Term Project Coordinator,Vocational Training Council,"Full Time, Graduate",HKD ($),Negotiable,2024-09-18
Executive Assistant in Faculty of Education and Human Development (Ref: 2400983),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-09
社會工作助理 (Social Work Assistant) - Mindfulness Training 2.0,The Society for the Aid and Rehabilitation of Drug Abusers,"Full Time, Graduate",HKD ($),24K - 25.5K per month,2024-09-12
Electronic Engineer,Medisource Supply (Asia) Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Biomedical Engineer,Medisource Supply (Asia) Company Limited,"Full Time, Graduate",HKD ($),20K - 22K per month,2024-09-28
OPERATION ASSISTANT / CLERK,Sun Hung Kai Properties Ltd,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Assistant Professor in Department of Science and Environmental Studies (Ref: 2400950),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-13
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-09-24
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-09-24
YUM China 2025 Management Trainee Program,"Qianjin Network Information Technology (Shanghai) Co., Ltd. (51Job)","Management Trainee, Full Time, Graduate",CNY (¥),Negotiable,2024-09-20
Audit Associate,MCMILLAN WOODS (HONG KONG) CPA LIMITED,"Full Time, Graduate",HKD ($),18K - 50K per month,2024-09-28
青年工作員 (地區統籌) (青年空間支援組(112)),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-09-28
Legal Intern,Zurich Services (Hong Kong) Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-15
Tax and Corporate Services Internship - Part-time,LOUIS LAI & LUK CPA LIMITED,"Part Time, Internship",HKD ($),80 - 100 per hour,2024-09-28
Company Secretarial Officer (Part-time),A&G Consultancy Limited,"Part Time, Internship",HKD ($),60 - 80 per hour,2024-09-05
繪畫導師/助教（兼職/全職均考慮,Upper art Limited,"Part Time, Temporary",HKD ($),50 - 80 per hour,2024-09-28
