Titles,Companies,Currencies,Salaries,Closing Dates
Android App Developer,Chief Securities Limited,HKD ($),25K - 50K per month,2024-08-31
Dealer/ Investment Service Officer,Chief Securities Limited,HKD ($),25K - 50K per month,2024-08-31
Programmer,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 20K per month,2024-08-31
Customer Service Officer,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 22K per month,2024-08-31
Sales and Marketing Executive,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 50K per month,2024-08-31
Web Designer,IGEARS TECHNOLOGY LIMITED,HKD ($),13K - 25K per month,2024-08-31
Trainee Accountant / Accountant,Graham H Y Chan & Co,HKD ($),Negotiable,2024-08-31
Junior System Engineer,Azeus Systems Limited,HKD ($),20K - 23K per month,2024-08-30
IT Support ( 2 Years Contract ),Azeus Systems Limited,HKD ($),18K - 20K per month,2024-08-30
Human Resources Assistant,Heep Hong Society,HKD ($),17K - 18K per month,2024-08-26
Mechanical Engineer Assistant (with a Mechanical Engineering background),CHI SHING MACHINERY RENTAL COMPANY LIMITED,HKD ($),Negotiable,2024-08-30
Post-doctoral Fellow in Department of Education Policy and Leadership (Ref: 2400819),The Education University of Hong Kong,HKD ($),45.7K per month,2024-08-22
MPF Specialist,Jackey Ko Consultant CO.,HKD ($),18K - 25K per month,2024-08-30
Accounting Assistant (Shenzhen Stationed),Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Sales Engineer,Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Production Engineer (Qingyuan Stationed),Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Leasing Assistant,Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
QA Engineer (Shenzhen Stationed),Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Embedded Software Engineer,Simatelex Manufactory Company Limited,HKD ($),18K - 20K per month,2024-08-30
Assistant Financial Analyst,Simatelex Manufactory Company Limited,HKD ($),18K - 20K per month,2024-08-30
Corporate Services & Administration Executive,Boen Media Corporation Limited,HKD ($),16K - 18K per month,2024-08-30
Systems Operator Trainee,Bangkok Bank Public Co. Ltd.,HKD ($),Negotiable,2024-08-30
"Treasury Settlement Assistant - FX/MM, Derivatives and Securities",Bangkok Bank Public Co. Ltd.,HKD ($),Negotiable,2024-08-30
Relationship Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,HKD ($),Negotiable,2024-08-30
Customer Service Officer - Fresh graduates are welcome,Superhub Limited,HKD ($),16.5K - 18K per month,2024-08-30
Used Car Advisor,Tesla Motors HK Limited,HKD ($),18K - 25K per month,2024-08-29
功課輔導班導師(5天工作)15-20K,NF Educational Services Limited,HKD ($),15K - 20K per month,2024-08-30
Audit Juniors,Kenneth Chau & Co.,HKD ($),19K per month,2024-08-30
專科班導師(5天工作)19-30K,NF Educational Services Limited,HKD ($),19K - 30K per month,2024-08-30
Technical Sales Executive,Cementaid (Hong Kong) Limited,HKD ($),Negotiable,2024-08-30
Sales Engineer,Alimak Group Hong Kong Limited,HKD ($),Negotiable,2024-08-30
Healthcare Executive,Hong Kong Medical Supplies Ltd,HKD ($),20K - 30K per month,2024-08-29
Graduate Trainee (Accounting),S. C. To & Co.,HKD ($),16K - 20K per month,2024-08-30
Frontend Programmer,Code By Hands Limited,HKD ($),19K - 22K per month,2024-08-30
學校計劃助理,Hong Kong Christian Service,HKD ($),13.86K - 21.5K per month,2024-08-25
Algorithm Engineer,Hong Kong Acamar Corporation Limited,HKD ($),30K - 50K per month,2024-08-30
TRAINEE: Communications Surveillance Analyst,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-08-30
Delivery Advisor,Tesla Motors HK Limited,HKD ($),Negotiable,2024-08-22
Service Advisor,Tesla Motors HK Limited,HKD ($),18K - 25K per month,2024-08-29
TRAINEE: Exotics Cross Asset Trade Support,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-08-30
"Assistant Technical Officer (Chemical Lab, Toys & Children Products)",The Hong Kong Standards and Testing Centre Ltd,HKD ($),16K - 18K per month,2024-08-30
Management Trainee (Pest Elimination Division),Ecolab Limited,HKD ($),Negotiable,2024-08-30
Branch Customer Service Representative,AEON CREDIT SERVICE (ASIA) COMPANY LIMITED,HKD ($),Negotiable,2024-08-30
Desktop Publishing / Graphics Designer (Shift duty is required),Williams Lea (Hong Kong) Limited,HKD ($),20K - 30K per month,2024-08-30
CERTIFICATION OFFICER,The Hong Kong Standards and Testing Centre Ltd,HKD ($),16K - 20K per month,2024-08-30
Associate (Marketing Communications),IPR Ogilvy Limited,HKD ($),Negotiable,2024-08-30
高級會計文員/會計主任 Senior Accounts Clerk/Accounting Officer,Sino United Publishing (Holdings) Limited,HKD ($),Negotiable,2024-08-30
Executive Business Manager (IANG),Jackey Ko Consultant CO.,HKD ($),20K - 50K per month,2024-08-30
Trainee,BE Reinsurance Limited,HKD ($),Negotiable,2024-08-30
Actuary Trainee,BC Reinsurance Ltd,HKD ($),Negotiable,2024-08-30
Trainee Satellite Control Engineer,Asia Satellite Telecommunications Co. Ltd.,HKD ($),Negotiable,2024-08-24
Sales & Marketing Executive (Science Background),Bio-Gene Technology Limited,HKD ($),18K - 26K per month,2024-08-29
Senior Reporter / Reporter (中國新聞),I-CABLE COMMUNICATIONS LIMITED,HKD ($),Negotiable,2024-08-28
Mechanical Engineer,MODERN (INTERNATIONAL) P&M HOLDINGS LIMITED,HKD ($),11.2K - 30K per month,2024-08-28
Analyst Programmer,Pastel Tech Limited,HKD ($),Negotiable,2024-08-29
AI Digital Marketing Officer,Money Concepts (Asia) Holdings Limited,HKD ($),15K - 17K per month,2024-08-29
Admin & Account Officer,MCM Wealth Management Hong Kong Limited,HKD ($),15K - 17K per month,2024-08-29
Sales Support Officer,MCM Wealth Management Hong Kong Limited,HKD ($),15K - 17K per month,2024-08-29
Assistant Editor (Maths),Pan Lloyds Publishers Limited,HKD ($),Negotiable,2024-08-29
Assistant Officer - Sea Operations,Kerry Logistics (Hong Kong) Limited,HKD ($),15K - 20K per month,2024-08-29
Category Executive (RTE) (Wellcome),"The Dairy Farm Company, Limited",HKD ($),Negotiable,2024-08-29
Computer Specialist / Associate / Assistant (e-Commerce),WorldMart International Limited,HKD ($),15K - 17K per month,2024-08-28
Category Executive (RTE) (7-Eleven),"The Dairy Farm Company, Limited",HKD ($),Negotiable,2024-08-29
Front-end Developer,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
IT Operator,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
Manager Trainee 見習經理,Waihong Environmental Services Limited,HKD ($),16K - 18K per month,2024-08-28
Assistant Quantity Surveyor,Currie & Brown (China) Limited,HKD ($),Negotiable,2024-08-28
Works Supervisor II (Construction),Kai Fu Property Services Co. Ltd.,HKD ($),25.11K - 30K per month,2024-08-28
Investment Officer - Capital Markets & Liquidity Management,"The Bank of East Asia, Limited",HKD ($),20K - 25K per month,2024-08-28
"Senior/ Project Engineer (Lift & Escalator, Modernization) - Open to Fresh Graduate",Schindler Lifts (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-08-28
UI/UX Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Quality Assurance Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Front-end Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Back-end Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Mobile Application Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
UI/UX Developer,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
Assistant Administration Officer,Midland Realty (Strategic) Limited,HKD ($),17K - 20K per month,2024-08-28
Back-end Developer,Bull.B Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Information Security Consultant,Gabriel Consultant Limited,HKD ($),16K - 18K per month,2024-08-28
Management Trainee,Vpower Holdings Limited,HKD ($),Negotiable,2024-08-24
paralegal,Chang Tsi & Partners Intellectual Property (HK) Limited,HKD ($),12K - 20K per month,2024-08-28
Research Assistant (Job ID: 10078),The Hong Kong University of Science & Technology-Human Resources Office,HKD ($),Negotiable,2024-08-28
Crypto Analyst,FAMOUS RAISE LTD,HKD ($),100 - 300 per hour,2024-08-28
Junior Graphic Designer,PICTO HONG KONG LIMITED,HKD ($),15K - 18K per month,2024-08-28
Customer Services Officer,The Clearwater Bay Golf & Country Club,HKD ($),Negotiable,2024-08-28
Assistant Communications Officer,The Clearwater Bay Golf & Country Club,HKD ($),17K - 20K per month,2024-08-28
Customer Service Representative (Delivery Platform Team),GOGO TECH LIMITED,HKD ($),Negotiable,2024-08-28
Finance Officer,Harrow International Management Services Limited,HKD ($),Negotiable,2024-08-25
Assistant Accounting Officer,Midland Realty (Strategic) Limited,HKD ($),17K - 20K per month,2024-08-28
Officer - Credit Policy & Analytics Department,Chong Hing Bank Limited,HKD ($),18K - 20K per month,2024-08-27
SEN Learning Support Instructor Trainee ( Chinese) (Full time) and 特殊學習需要學習支援導師(中文) (全職),Boaz International Education Institute Limited,HKD ($),17K - 18K per month,2024-08-27
SEN Learning Support Instructor Trainee (English) (Full time) and 特殊學習需要學習支援導師(英文) (全職),Boaz International Education Institute Limited,HKD ($),17K - 18K per month,2024-08-27
Solution Sales Executive,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Full Stack Developer,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Sales & Project Manager,Prospera International Technology Limited,HKD ($),22K - 38K per month,2024-08-28
Quality Assurance Engineer,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
Associate Sales & Project Manager,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
Full Stack Developer,Bull.B Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Sales Engineer and Project Manager,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
UI/UX Developer,Prospera International Technology Limited,HKD ($),Negotiable,2024-08-28
Back-end Developer,Prospera International Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Blockchain Developer,Prospera International Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Computer Operator,Prospera International Technology Limited,HKD ($),Negotiable,2024-08-28
Blockchain Developer,Bull.B Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Full Stack Developer,Prospera International Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Quality Assurance Developer,Prospera International Technology Limited,HKD ($),Negotiable,2024-08-28
UI/UX Developer,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
IT Operator,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Front-end Developer,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Back-end Developer,Sky Cover Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Quality Assurance Developer,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Marketing Officer,"James Rice Contracting Co., Ltd.",HKD ($),Negotiable,2024-08-28
Assistant Project Manager,"James Rice Contracting Co., Ltd.",HKD ($),Negotiable,2024-08-28
Assistant Quantity Surveyor,"James Rice Contracting Co., Ltd.",HKD ($),Negotiable,2024-08-28
Temporary Receptionist (6- months contract),Tesco International Sourcing Limited,HKD ($),18K - 22K per month,2024-08-24
Secretary,Emily Yip & Co Limited,HKD ($),15K - 16K per month,2024-08-26
Technical Assistant (Patent),Emily Yip & Co Limited,HKD ($),15K - 16K per month,2024-08-26
"Administrative Assistant (Intellectual Property, Japanese speaking)",Emily Yip & Co Limited,HKD ($),15K - 16K per month,2024-08-26
Secretary (Work From Home Option),Emily Yip & Co Limited,HKD ($),15K - 16K per month,2024-08-26
Technical Assistant (Patent) Work From Home Option,Emily Yip & Co Limited,HKD ($),15K - 16K per month,2024-08-26
"Administrative Assistant (Intellectual Property, Japanese speaking) - Work from home option",Emily Yip & Co Limited,HKD ($),15K - 16K per month,2024-08-26
Huawei Hong Kong Research Center 2024 Post-Doc Graduate Program – Researcher/Research Intern,"Huawei Tech. Investment Co., Limited",HKD ($),40K - 70K per month,2024-08-27
Huawei Hong Kong Research Center 2024 Graduate Program –Digital Design & Verification Engineer,"Huawei Tech. Investment Co., Limited",HKD ($),25K - 60K per month,2024-08-27
Assistant Data Analyst,Simatelex Manufactory Company Limited,HKD ($),18K - 20K per month,2024-08-27
Structural Engineering Assistant,Prairie (Asia) Limited,HKD ($),20K - 24K per month,2024-08-27
Full Stack Developer,Media Publishing Limited,HKD ($),Negotiable,2024-08-27
Customer Service Officer (Admin Support),GOGO TECH LIMITED,HKD ($),Negotiable,2024-08-26
Assistant Marketing Executive / Marketing Executive (Event Management),DIA (ASIA PACIFIC) COMPANY LIMITED,HKD ($),14K - 17K per month,2024-08-23
"Business Analyst, Commercial Excellence",Cathay Pacific Catering Services (HK) Limited,HKD ($),25K - 40K per month,2024-08-27
Editor / Assistant Editor (Physics / Biology / Science),Oxford University Press (China) Limited,HKD ($),Negotiable,2024-08-27
Editor/Project Editor - CLT Editorial (Supplementary),Oxford University Press (China) Limited,HKD ($),Negotiable,2024-08-27
全職補習社高中英文導師,Total Wise Limited,HKD ($),30K - 32K per month,2024-08-26
[急聘]補習社初中學導師(6天工作),Total Wise Limited,HKD ($),22K - 24K per month,2024-08-26
[急聘]補習社中小學導師(6天工作),Total Wise Limited,HKD ($),20K - 21.5K per month,2024-08-26
全職補習社高中生物導師,Total Wise Limited,HKD ($),23K - 26K per month,2024-08-26
補習社客戶服務員(5天工作),Total Wise Limited,HKD ($),16K - 16.8K per month,2024-08-26
Channel Account Manager,Synergy Computers & Communications Ltd.,HKD ($),12K - 30K per month,2024-08-26
Network Engineer,Synergy Computers & Communications Ltd.,HKD ($),16K - 22K per month,2024-08-26
Technical Officer,Pypun Engineering Consultants Limited,HKD ($),Negotiable,2024-08-25
Sourcing & Demand / Supply Planner,Hush Home Hong Kong Limited,HKD ($),18K - 20K per month,2024-08-23
Audit Assistant,T K Lo & Co,HKD ($),16K - 20K per month,2024-08-24
Training Specialist,Midland Realty (Strategic) Limited,HKD ($),18K - 22K per month,2024-08-25
Administration staff / Program Coordinator,Phonics Plus Limited,HKD ($),16K - 22K per month,2024-08-25
English Teacher,Phonics Plus Limited,HKD ($),19K - 27K per month,2024-08-22
Legal Case Specialist,Wang Jia Group Inc.,HKD ($),13K - 25K per month,2024-08-25
Assistant Project Officer (Surveying),Midland Realty (Strategic) Limited,HKD ($),18K - 22K per month,2024-08-25
IT Systems Engineer (東方傳媒機構),Oriental Human Resources Limited,HKD ($),18K per month,2024-08-24
Programmer - Web Analyst (東方傳媒機構),Oriental Human Resources Limited,HKD ($),18K per month,2024-08-24
Programmer - In-house (東方傳媒機構),Oriental Human Resources Limited,HKD ($),18K per month,2024-08-24
Youth Worker (持續進修中心),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),21.5K - 31.65K per month,2024-08-24
Mobile App Developer (Android / iOS) (東方傳媒機構),Oriental Human Resources Limited,HKD ($),18K per month,2024-08-24
Reporter / Editor Trainee - Local or Financial News (東方傳媒機構),Oriental Human Resources Limited,HKD ($),17K - 18K per month,2024-08-24
Web Developer / Web Programmer (東方傳媒機構),Oriental Human Resources Limited,HKD ($),16K - 18K per month,2024-08-24
Youth Work Officer 青年工作幹事 (註冊學位社工/中學駐校)(賽馬會天耀青年空間),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),35.77K - 58.73K per month,2024-08-24
項目主任 (發展幹事/青年工作幹事)(青年空間支援組(112)),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),34.06K - 35.77K per month,2024-08-24
Youth Work Officer 青年工作幹事 (註冊副學位/高級文憑社工)(荃灣及葵涌外展社會工作隊),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),24.38K - 40.42K per month,2024-08-24
Assistant Administrative Officer (Operation),HKCOLO Limited,HKD ($),16K - 18K per month,2024-08-24
Assistant Project Engineer,Roctec Technology Limited,HKD ($),Negotiable,2024-08-24
Assistant Network Engineer,Roctec Technology Limited,HKD ($),Negotiable,2024-08-24
Programmer,Roctec Technology Limited,HKD ($),Negotiable,2024-08-24
Revenue Analyst,Cathay Pacific Airways LTD,HKD ($),Negotiable,2024-08-22
Accounting Assistants,Caritas - Hong Kong,HKD ($),19.57K - 23.64K per month,2024-08-24
Interior Designer,"James Rice Contracting Co., Ltd.",HKD ($),Negotiable,2024-08-22
Human Resources Assistant,Fides Solutions Limited,HKD ($),17K - 19K per month,2024-08-24
兼職 數學專科班導師,Royal Learning Group Limited,HKD ($),Negotiable,2024-08-23
Youth Work Officer 青年工作幹事 (註冊學位社工)(青年違法防治中心–抗毒服務),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),35.77K - 58.73K per month,2024-08-24
Youth Work Officer 青年工作幹事 (註冊學位社工)(西貢及黃大仙外展社會工作隊),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),35.77K - 58.73K per month,2024-08-24
Youth Work Officer 青年工作幹事 (註冊學位社工)(賽馬會茵怡青年空間),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),35.77K - 58.73K per month,2024-08-24
Youth Work Officer 青年工作幹事(註冊學士社工) [駐校工作](荃景青年空間),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),35.77K - 58.73K per month,2024-08-24
Development Officer (Network Engineer) (資訊科技組),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),34.06K - 44.55K per month,2024-08-24
Digital Content Creator,InspiringHK Sports Foundation Limited,HKD ($),Negotiable,2024-08-24
Development Officer (Communications Officer)(機構傳訊組),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),34.06K - 44.55K per month,2024-08-24
全職 小學功課輔導班導師 (荃灣),Royal Learning Group Limited,HKD ($),18K per month,2024-08-23
兼職 到校面試培訓導師,Royal Learning Group Limited,HKD ($),Negotiable,2024-08-23
HR and Administration Assistant,GDC Technology Limited,HKD ($),Negotiable,2024-08-24
Programme Executive/Programme Officer,InspiringHK Sports Foundation Limited,HKD ($),Negotiable,2024-08-24
Fundraising & Partnership Executive,InspiringHK Sports Foundation Limited,HKD ($),Negotiable,2024-08-24
Chairman Assistant,Fangyuan Financial (Hong Kong) Limited,HKD ($),Negotiable,2024-08-24
Teaching Assistant,Grace Christian Academy,HKD ($),13K - 18K per month,2024-08-24
Program Managment Trainee,VTECH COMMUNICATIONS LIMITED,HKD ($),18.5K - 21K per month,2024-08-24
Radiographer (Part time),Medtimes Medical Group Limited,HKD ($),Negotiable,2024-08-22
Clinic Assistant (Central),Medtimes Medical Group Limited,HKD ($),Negotiable,2024-08-22
Assistant Project Engineer (IoT/Environmental),NOVOX LIMITED,HKD ($),20K - 25K per month,2024-08-24
Recreation Assistant,Urban Property Management Limited,HKD ($),14K - 15K per month,2024-08-24
Customer Services Officer,Urban Property Management Limited,HKD ($),15K - 19K per month,2024-08-24
2024/25財富管理實習生,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-08-24
2024/25Wealth Management Internship,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-08-24
HNW Wealth Management Manager,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-08-24
Systems Engineer for Hedge Funds (Full time in Hong Kong),Premier Technology Global Limited,HKD ($),Negotiable,2024-08-22
Management Trainee,Superior Company,HKD ($),13K - 15K per month,2024-08-24
Apprentice,Superior Company,HKD ($),16K - 20K per month,2024-08-24
Assistant Property Officer,Urban Property Management Limited,HKD ($),16K - 20K per month,2024-08-24
Radiographer (Full Time),Medtimes Medical Group Limited,HKD ($),Negotiable,2024-08-22
Assistant Technical Officer,Urban Property Management Limited,HKD ($),17K - 22K per month,2024-08-24
Clinic Assistant (TST),Medtimes Medical Group Limited,HKD ($),Negotiable,2024-08-22
Part-time P.E. Teacher,Grace Christian Academy,HKD ($),250 - 500 per hour,2024-08-24
Landscape Architectural Graduate,Government of the Hong Kong SAR-Government Secretariat Transport and Housing Bureau,HKD ($),Negotiable,2024-08-23
ASSISTANT ESTATE OFFICER [Ref. WG-AEO(R)],Whampoa Garden Management Limited,HKD ($),Negotiable,2024-08-24
Assistant Engineer,Ocean & Colman Engineering Limited,HKD ($),16K - 20K per month,2024-08-24
Assistant Accountant,VTECH CORPORATE SERVICES LIMITED,HKD ($),17K - 21K per month,2024-08-23
Housekeeping Coordinator,Kowloon Panda Hotel Limited,HKD ($),17K - 18K per month,2024-08-23
Project Engineer (E&M / BS),Cornerstone EV Charging Service Limited,HKD ($),Negotiable,2024-08-22
Project Coordinator (E&M / BS),Cornerstone EV Charging Service Limited,HKD ($),Negotiable,2024-08-22
Manulife Customer Contact Center Representative,Manulife Financial Asia Limited,HKD ($),Negotiable,2024-08-23
Digital Marketing Specialist Assistant,"Terra Nova (Asia) Co., ltd",HKD ($),Negotiable,2024-08-23
Electronic Engineer,Medisource Supply (Asia) Company Limited,HKD ($),Negotiable,2024-08-23
Biomedical Engineer,Medisource Supply (Asia) Company Limited,HKD ($),20K - 22K per month,2024-08-22
Engineer,Saicome Industries Limited,HKD ($),18K - 25K per month,2024-08-23
"Pre-Sales Engineer, IT Solution",ICO Limited,HKD ($),18K - 20K per month,2024-08-23
Programmer,ICO Limited,HKD ($),18K - 20K per month,2024-08-23
Audit Junior,Smart CPA (Hong Kong) Limited,HKD ($),Negotiable,2024-08-23
TRAINEE: Valuation and Risk Analysis Analyst,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-08-23
Operations Administrator (Long Haul Section),EGL Tours Company Limited,HKD ($),15K - 16K per month,2024-08-23
Junior Interior Designer (Part-Time),Canalside Studio Limited,HKD ($),Negotiable,2024-08-23
Junior Interior Designer,Canalside Studio Limited,HKD ($),Negotiable,2024-08-23
Accounting Assistant,Fortune Origin Securities Limited,HKD ($),Negotiable,2024-08-23
Graduate Engineer / Assistant Engineer,Pypun Engineering Consultants Limited,HKD ($),Negotiable,2024-08-23
Customer Service Officer,Strawberry Cosmetics (Services) Limited,HKD ($),14K - 20K per month,2024-08-23
心橋融合教育服務(第六隊) - 專業助理,Hong Kong Christian Service,HKD ($),12K - 15K per month,2024-08-23
TRAINEE: IT Service Management Specialist,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-08-23
Business Develeopment and Marketing Executive,Bonnymuir,HKD ($),7K - 10K per month,2024-08-23
Assistant Sales Executive / Assistant Sales Engineer,MODERN (INTERNATIONAL) P&M HOLDINGS LIMITED,HKD ($),11.2K - 30K per month,2024-08-23
AI Engineer,FinCatch Limited,HKD ($),15K - 35K per month,2024-08-23
Assistant Engineer,Pypun Engineering Consultants Limited,HKD ($),Negotiable,2024-08-23
Assistant Social Media Editor,Koomen International Company Limited,HKD ($),13K - 18K per month,2024-08-23
Legal Officer / Assistant Legal Officer,Yue Yuen Industrial (Holdings) Limited,HKD ($),20K - 30K per month,2024-08-23
Sales & Marketing Coordinator,Koomen International Company Limited,HKD ($),13K - 18K per month,2024-08-23
Logistics Executive,Strawberry Cosmetics (Services) Limited,HKD ($),14K - 20K per month,2024-08-23
Mergers & Acquisitions Analyst – Hong Kong,DBW Partners LLC,USD ($),4.58K - 6.25K per month,2024-08-22
AIA_2024 Programs for Financial Consultant,Flamebridge Consultant Company,HKD ($),50K - 75K per month,2024-08-22
Marketing Executive,MaxiPro (Asia) Limited,HKD ($),15K - 19K per month,2024-08-22
Receptionist,Ince & Co,HKD ($),Negotiable,2024-08-22
Operations Trainee,OT & P Limited,HKD ($),Negotiable,2024-08-22
AI EdTech Business Development (Graduate Trainee),Applied Artificial Intelligence Laboratory Limited,HKD ($),20K - 25K per month,2024-08-22
Graduate Engineer,Arch & Fire Professional (International) Limited,HKD ($),18K - 25K per month,2024-08-22
Sales & Marketing Executive Trainee (IT Solution),Togo Pacific Limited,HKD ($),Negotiable,2024-08-22
Assistant Editor (English) 助理編輯,Pan Lloyds Publishers Limited,HKD ($),15K - 17K per month,2024-08-22
Graduate Programme - Solution Consultant (Supply Chain),IVC Solutions Limited,HKD ($),18K - 20K per month,2024-08-22
Graduate Programme - Solution Consultant (Finance),IVC Solutions Limited,HKD ($),18K - 20K per month,2024-08-22
Junior / Senior Tutors - Phy / Chem / Bio (Full Time),ED Pro Learning Centre Limited,HKD ($),18K - 22K per month,2024-08-22
助理導師,HONG KONG JUVENILE CARE CENTRE,HKD ($),Negotiable,2024-08-22
Guest Relations Officer,OT & P Limited,HKD ($),Negotiable,2024-08-22
家舍導師,HONG KONG JUVENILE CARE CENTRE,HKD ($),Negotiable,2024-08-22
Operation Offcier,China Partners Consultancy Limited,HKD ($),15K - 20K per month,2024-08-22
Accounting & Admin Officer,Cyber Age Limited,HKD ($),14K - 16K per month,2024-08-22
